"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",131118,13440,,,,,,,60,B,,,11/11/2013 19:47:30,1,2,,,,,,,,,,,,,,,0,6,215,59,220,170,163,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,,,,,,,60,B,,,11/11/2013 19:48:30,1,2,,,,,,,,,,,,,,,0,6,215,60,28,226,162,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.68,-122.127,1,11/11/2013 20:32:59,Argos,,300,L,,401677525,11/11/2013 20:31:30,1,6,,-130,401677525,-122.127,47.68,,,50,,,,,,,2,6,215,71,220,250,153,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.68,-122.127,1,11/11/2013 20:32:59,Argos,,300,L,,401677525,11/11/2013 20:32:30,1,6,,-130,401677525,-122.127,47.68,,,50,,,,,,,2,6,215,72,28,210,154,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.68,-122.127,1,11/11/2013 20:32:59,Argos,,300,L,,401677525,11/11/2013 20:33:30,1,6,,-130,401677525,-122.127,47.68,,,50,,,,,,,2,6,215,72,92,6,155,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.681,-122.129,2,11/11/2013 20:36:00,Argos,,300,A,,401677525,11/11/2013 20:33:30,1,6,,-122,401677525,-122.129,47.681,,,50,,,,,,,2,6,215,72,92,6,155,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.68,-122.127,1,11/11/2013 20:32:59,Argos,,300,L,,401677525,11/11/2013 20:34:30,1,6,,-130,401677525,-122.127,47.68,,,50,,,,,,,2,172,215,72,156,0,71,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.681,-122.129,2,11/11/2013 20:36:00,Argos,,300,A,,401677525,11/11/2013 20:34:30,1,6,,-122,401677525,-122.129,47.681,,,50,,,,,,,2,172,215,72,156,0,71,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.68,-122.127,1,11/11/2013 20:32:59,Argos,,300,L,,401677525,11/11/2013 20:35:30,1,6,,-130,401677525,-122.127,47.68,,,50,,,,,,,2,6,215,72,220,238,154,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.681,-122.129,2,11/11/2013 20:36:00,Argos,,300,A,,401677525,11/11/2013 20:35:30,1,6,,-122,401677525,-122.129,47.681,,,50,,,,,,,2,6,215,72,220,238,154,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.68,-122.127,1,11/11/2013 20:32:59,Argos,,300,L,,401677525,11/11/2013 20:36:30,1,6,,-130,401677525,-122.127,47.68,,,50,,,,,,,2,6,215,73,28,46,155,,,,,,,,,,,,,,,,,,,,,,,,,,
"",131118,13440,47.681,-122.129,2,11/11/2013 20:36:00,Argos,,300,A,,401677525,11/11/2013 20:36:30,1,6,,-122,401677525,-122.129,47.681,,,50,,,,,,,2,6,215,73,28,46,155,,,,,,,,,,,,,,,,,,,,,,,,,,
