DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"131118",131118,Mk10,21:13:30 11-Nov-2013,,,2,47.6760,-122.1340,CRC 57997.58013,21:13:28 11-Nov-2013,Status,2,6,215,83,92,226,141,,,,,,,,,,,,,,,,,,,,,,,,,
"131118",131118,Mk10,22:09:30 11-Nov-2013,,,2,47.6750,-122.1370,CRC 7827.56858,22:09:28 11-Nov-2013,Status,10,6,215,98,92,30,147,,,,,,,,,,,,,,,,,,,,,,,,,
"131118",131118,Mk10,20:58:57 28-Feb-2016,,,,,,CRC 53421.38974,01:19:00 29-Feb-2016,Behavior,189,10,208,186,20,193,14,162,67,55,128,224,21,163,60,56,215,133,142,190,219,73,200,132,16,60,150,173,238,124,2,
"131118",131118,Mk10,21:11:28 28-Feb-2016,,,,,,CRC 29677.13218,00:58:00 29-Feb-2016,Behavior,183,62,208,186,14,128,152,174,64,8,47,196,15,255,159,241,28,22,133,240,21,240,101,11,240,188,160,58,123,197,225,
