DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
"131117",131117,,Transmission,Mk10,1,01:02:38 29-Feb-2016,01:09:10 29-Feb-2016,Surface,,,,,391,393,,,,,,,,,,,,,13,379
"131117",131117,,Transmission,Mk10,2,01:30:00 29-Feb-2016,01:50:54 29-Feb-2016,Message,10,,,,1244.000000,1264.000000,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,01:30:00 29-Feb-2016,01:32:02 29-Feb-2016,Dive,1,U,19.0,19.0,121,123,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,01:32:02 29-Feb-2016,01:33:26 29-Feb-2016,Surface,,,,,83,85,,,,,,,,,,,,,5,79
"131117",131117,,Transmission,Mk10,2,01:33:26 29-Feb-2016,01:40:12 29-Feb-2016,Dive,1,U,19.5,19.5,405,407,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,01:40:12 29-Feb-2016,01:43:18 29-Feb-2016,Surface,,,,,185,187,,,,,,,,,,,,,6,180
"131117",131117,,Transmission,Mk10,2,01:43:18 29-Feb-2016,01:44:42 29-Feb-2016,Dive,1,U,21.0,21.0,83,85,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,01:44:42 29-Feb-2016,01:44:44 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,2,01:44:44 29-Feb-2016,01:45:58 29-Feb-2016,Dive,1,V,46.5,47.0,73,75,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,01:45:58 29-Feb-2016,01:47:38 29-Feb-2016,Surface,,,,,99,101,,,,,,,,,,,,,10,90
"131117",131117,,Transmission,Mk10,2,01:47:38 29-Feb-2016,01:49:48 29-Feb-2016,Dive,1,V,22.0,22.0,129,131,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,01:49:48 29-Feb-2016,01:50:54 29-Feb-2016,Surface,,,,,65,67,,,,,,,,,,,,,4,62
"131117",131117,,Transmission,Mk10,1,01:51:00 29-Feb-2016,02:02:54 29-Feb-2016,Message,10,,,,704.000000,724.000000,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,01:51:00 29-Feb-2016,01:54:46 29-Feb-2016,Dive,1,U,79.0,80.5,225,227,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,01:54:46 29-Feb-2016,01:54:48 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,1,01:54:48 29-Feb-2016,01:55:40 29-Feb-2016,Dive,1,V,21.5,21.5,51,53,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,01:55:40 29-Feb-2016,01:58:02 29-Feb-2016,Surface,,,,,141,143,,,,,,,,,,,,,9,133
"131117",131117,,Transmission,Mk10,1,01:58:02 29-Feb-2016,01:59:06 29-Feb-2016,Dive,1,Square,16.0,16.0,63,65,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,01:59:06 29-Feb-2016,02:00:04 29-Feb-2016,Surface,,,,,57,59,,,,,,,,,,,,,4,54
"131117",131117,,Transmission,Mk10,1,02:00:04 29-Feb-2016,02:01:54 29-Feb-2016,Dive,1,V,15.5,15.5,109,111,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,02:01:54 29-Feb-2016,02:01:56 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,1,02:01:56 29-Feb-2016,02:02:52 29-Feb-2016,Dive,1,V,45.5,46.0,55,57,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,1,02:02:52 29-Feb-2016,02:02:54 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,2,02:03:00 29-Feb-2016,02:23:30 29-Feb-2016,Message,10,,,,1220.000000,1240.000000,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,02:03:00 29-Feb-2016,02:04:32 29-Feb-2016,Dive,1,V,33.5,34.0,91,93,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,02:04:32 29-Feb-2016,02:06:18 29-Feb-2016,Surface,,,,,105,107,,,,,,,,,,,,,7,99
"131117",131117,,Transmission,Mk10,2,02:06:18 29-Feb-2016,02:09:00 29-Feb-2016,Dive,1,V,54.5,55.0,161,163,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,02:09:00 29-Feb-2016,02:10:40 29-Feb-2016,Surface,,,,,99,101,,,,,,,,,,,,,6,94
"131117",131117,,Transmission,Mk10,2,02:10:40 29-Feb-2016,02:11:48 29-Feb-2016,Dive,1,U,17.5,17.5,67,69,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,02:11:48 29-Feb-2016,02:21:02 29-Feb-2016,Surface,,,,,553,555,,,,,,,,,,,,,18,536
"131117",131117,,Transmission,Mk10,2,02:21:02 29-Feb-2016,02:22:22 29-Feb-2016,Dive,1,V,15.0,15.0,79,81,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,02:22:22 29-Feb-2016,02:22:24 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,2,02:22:24 29-Feb-2016,02:23:28 29-Feb-2016,Dive,1,V,20.5,20.5,63,65,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,02:23:28 29-Feb-2016,02:23:30 29-Feb-2016,Surface,,,,,1,3,,,,,,,,,,,,,2,0
"131117",131117,,Transmission,Mk10,2,04:06:00 29-Feb-2016,04:39:56 29-Feb-2016,Message,10,,,,2026.000000,2046.000000,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,04:06:00 29-Feb-2016,04:08:12 29-Feb-2016,Dive,1,Square,15.0,15.0,131,133,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,04:08:12 29-Feb-2016,04:14:14 29-Feb-2016,Surface,,,,,361,363,,,,,,,,,,,,,12,350
"131117",131117,,Transmission,Mk10,2,04:14:14 29-Feb-2016,04:20:38 29-Feb-2016,Dive,1,V,16.5,16.5,383,385,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,04:20:38 29-Feb-2016,04:21:18 29-Feb-2016,Surface,,,,,39,41,,,,,,,,,,,,,3,37
"131117",131117,,Transmission,Mk10,2,04:21:18 29-Feb-2016,04:23:42 29-Feb-2016,Dive,1,V,19.5,19.5,143,145,,,,,,,,,,,,,
"131117",131117,,Transmission,Mk10,2,04:23:42 29-Feb-2016,04:37:26 29-Feb-2016,Surface,,,,,823,825,,,,,,,,,,,,,27,797
