DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131117",131117,Mk10,DS,2,0,2,114,114,00:13:04 29-Feb-2016,K,B,-63.4270,-56.7090,,,8,,401677382,-124,
"131117",131117,Mk10,DS,3,0,2,148,128,00:24:17 29-Feb-2016,N,A,-63.3970,-56.7120,,,8,,401677375,-127,
"131117",131117,Mk10,DS,6,0,6,76,47,01:28:31 29-Feb-2016,A,1,-63.3410,-56.8300,,,48,,401677370,-119,
"131117",131117,Mk10,DS,1,0,1,,,01:51:33 29-Feb-2016,K,B,-63.3420,-56.8290,,,6,,401677364,-133,
"131117",131117,Mk10,DS,1,0,1,,,02:03:06 29-Feb-2016,N,B,-63.3320,-56.8400,,,8,,401677358,-140,
"131117",131117,Mk10,DS,2,0,1,115,115,02:06:38 29-Feb-2016,P,B,-63.3530,-56.7770,,,8,,401677355,-130,
"131117",131117,Mk10,DS,2,0,2,278,278,03:12:33 29-Feb-2016,A,B,-63.2910,-56.8220,,,6,,401677387,-116,
"131117",131117,Mk10,DS,1,0,1,,,03:52:52 29-Feb-2016,P,B,-63.2750,-56.8210,,,8,,401677375,-137,
"131117",131117,Mk10,DS,2,0,1,521,521,05:28:50 29-Feb-2016,P,B,-63.2700,-56.9180,,,8,,401677372,-130,
"131117",131117,Mk10,DS,1,0,1,,,06:43:20 29-Feb-2016,K,B,-63.2530,-56.9430,,,8,,401677374,-133,
"131117",131117,Mk10,DS,2,0,2,371,371,07:01:56 29-Feb-2016,N,B,-63.1860,-57.0970,,,6,,401677388,-129,
"131117",131117,Mk10,DS,1,0,1,,,07:08:18 29-Feb-2016,P,B,-63.2140,-57.0190,,,6,,401677385,-138,
"131117",131117,Mk10,DS,3,0,2,283,47,08:27:06 29-Feb-2016,K,A,-63.3090,-56.8080,,,8,,401677376,-130,
"131117",131117,Mk10,DS,1,0,1,,,08:43:13 29-Feb-2016,N,B,-63.1740,-57.0620,,,7,,401677383,-127,
"131117",131117,Mk10,DS,1,0,1,,,09:02:25 29-Feb-2016,R,B,-63.3180,-56.7900,,,6,,401677370,-138,
"131117",131117,Mk10,DS,1,0,0,,,09:50:13 29-Feb-2016,A,B,-63.3260,-56.7730,,,8,,401677375,-127,
"131117",131117,Mk10,DS,2,0,1,54,54,10:07:00 29-Feb-2016,K,B,-63.3410,-56.7800,,,6,,401677390,-132,
"131117",131117,Mk10,DS,1,0,1,,,10:21:54 29-Feb-2016,N,B,-63.3450,-56.7720,,,6,,401677389,-133,
"131117",131117,Mk10,DS,1,0,1,,,10:37:09 29-Feb-2016,R,B,-63.3530,-56.7690,,,6,,401677369,-132,
"131117",131117,Mk10,DS,2,0,1,377,377,11:24:26 29-Feb-2016,A,B,-63.3640,-56.7450,,,8,,401677373,-121,
"131117",131117,Mk10,DS,2,0,2,65,65,12:21:59 29-Feb-2016,R,B,-63.3900,-56.6750,,,8,,401677371,-127,
"131117",131117,Mk10,DS,2,0,0,298,298,13:05:33 29-Feb-2016,A,B,-63.3990,-56.6280,,,8,,401677379,-121,
"131117",131117,Mk10,DS,4,0,3,119,113,13:57:12 29-Feb-2016,R,1,-63.4210,-56.6570,,,58,,401677370,-129,
"131117",131117,Mk10,DS,2,0,0,106,106,14:47:05 29-Feb-2016,A,B,-63.4500,-56.6520,,,6,,401677391,-130,
"131117",131117,Mk10,DS,3,0,0,85,61,18:49:34 29-Feb-2016,R,A,-63.5750,-56.4110,,,8,,401677377,-122,
"131117",131117,Mk10,DS,2,0,1,85,85,20:25:27 29-Feb-2016,K,B,-63.6730,-56.3470,,,8,,401677378,-129,
"131117",131117,Mk10,DS,3,0,1,106,61,20:33:01 29-Feb-2016,R,A,-63.6760,-56.3320,,,6,,401677375,-121,
"131117",131117,Mk10,DS,1,0,0,,,20:44:49 29-Feb-2016,N,B,-63.6820,-56.3350,,,6,,401677370,-133,
"131117",131117,Mk10,DS,4,0,1,53,44,20:55:39 29-Feb-2016,P,1,-63.6260,-56.3560,,,56,,401677381,-127,
"131117",131117,Mk10,DS,6,0,5,80,51,22:09:59 29-Feb-2016,R,1,-63.6260,-56.4760,,,48,,401677375,-122,
"131117",131117,Mk10,DS,3,0,3,136,97,22:10:21 29-Feb-2016,K,A,-63.6270,-56.4740,,,6,,401677374,-125,
"131117",131117,Mk10,DS,1,0,1,,,22:28:40 29-Feb-2016,N,B,-63.6250,-56.3560,,,8,,401677384,-128,
"131117",131117,Mk10,DS,2,0,1,149,149,22:41:34 29-Feb-2016,P,B,-63.5840,-56.4720,,,6,,401677372,-133,
"131117",131117,Mk10,DS,4,0,4,209,53,00:11:23 01-Mar-2016,N,1,-63.5340,-56.4070,,,58,,401677376,-129,
"131117",131117,Mk10,DS,2,0,2,104,104,00:18:59 01-Mar-2016,P,B,-63.5400,-56.4200,,,6,,401677376,-132,
"131117",131117,Mk10,DS,3,0,3,107,55,02:04:25 01-Mar-2016,B,A,-63.4670,-56.4640,,,8,,401677369,-122,
"131117",131117,Mk10,DS,2,0,2,285,285,02:44:48 01-Mar-2016,A,B,-63.4870,-56.3820,,,8,,401677376,-116,
"131117",131117,Mk10,DS,2,0,2,124,124,03:36:20 01-Mar-2016,P,B,-63.4250,-56.3750,,,8,,401677354,-129,
"131117",131117,Mk10,DS,3,0,2,140,56,04:26:38 01-Mar-2016,A,A,-63.4330,-56.2440,,,6,,401677385,-123,
"131117",131117,Mk10,DS,2,0,1,396,396,04:44:02 01-Mar-2016,K,B,-63.4230,-56.2070,,,6,,401677389,-129,
"131117",131117,Mk10,DS,2,0,2,96,96,05:10:47 01-Mar-2016,N,B,-63.4430,-56.3880,,,6,,401677370,-132,
"131117",131117,Mk10,DS,3,0,2,217,96,05:14:24 01-Mar-2016,P,A,-63.4720,-56.3360,,,6,,401677370,-123,
"131117",131117,Mk10,DS,1,0,0,,,06:09:48 01-Mar-2016,A,B,-63.4520,-56.3010,,,6,,401677405,-132,
"131117",131117,Mk10,DS,3,0,3,135,56,06:24:26 01-Mar-2016,K,A,-63.4610,-56.5190,,,6,,401677379,-128,
"131117",131117,Mk10,DS,3,0,2,135,60,06:51:08 01-Mar-2016,N,A,-63.4860,-56.5550,,,8,,401677383,-131,
"131117",131117,Mk10,DS,2,0,2,407,407,06:58:22 01-Mar-2016,P,B,-63.5000,-56.5460,,,8,,401677375,-129,
"131117",131117,Mk10,DS,2,0,2,274,274,07:47:35 01-Mar-2016,A,B,-63.5580,-56.6040,,,7,,401677394,-127,
"131117",131117,Mk10,DS,3,0,3,279,74,08:01:00 01-Mar-2016,K,A,-63.5100,-56.7670,,,6,,401677372,-131,
"131117",131117,Mk10,DS,2,0,2,249,249,08:28:39 01-Mar-2016,R,B,-63.5710,-56.6740,,,8,,401677374,-127,
"131117",131117,Mk10,DS,3,0,3,240,231,08:30:38 01-Mar-2016,N,A,-63.5720,-56.6560,,,6,,401677377,-123,
"131117",131117,Mk10,DS,1,0,1,,,10:08:02 01-Mar-2016,R,B,-63.5750,-56.7560,,,6,,401677416,-134,
"131117",131117,Mk10,DS,1,0,0,,,10:15:32 01-Mar-2016,B,B,-63.5520,-56.6830,,,6,,401677379,-130,
