DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131118",131118,Mk10,DS,2,0,1,255,255,00:12:41 29-Feb-2016,K,,,,,,,,,,
"131118",131118,Mk10,DS,1,0,1,,,01:25:26 29-Feb-2016,A,,,,,,,,,,
"131118",131118,Mk10,DS,1,0,0,,,06:28:35 29-Feb-2016,A,,,,,,,,,,
"131118",131118,Mk10,DS,1,0,1,,,08:30:49 29-Feb-2016,K,,,,,,,,,,
"131118",131118,Mk10,DS,1,0,1,,,11:24:27 29-Feb-2016,A,,,,,,,,,,
"131118",131118,Mk10,DS,1,0,1,,,22:08:43 29-Feb-2016,K,,,,,,,,,,
"131118",131118,Mk10,DS,1,0,1,,,04:32:58 01-Mar-2016,A,,,,,,,,,,
"131118",131118,Mk10,DS,2,0,2,340,340,06:53:01 01-Mar-2016,N,,,,,,,,,,
"131118",131118,Mk10,DS,1,0,1,,,07:00:43 01-Mar-2016,P,,,,,,,,,,
"131118",131118,Mk10,DS,2,0,2,191,191,08:03:34 01-Mar-2016,K,,,,,,,,,,
"131118",131118,Mk10,DS,1,0,1,,,08:23:48 01-Mar-2016,R,,,,,,,,,,
"131118",131118,Mk10,DS,1,0,1,,,20:49:37 01-Mar-2016,P,,,,,,,,,,
"131118",131118,Mk10,DS,2,0,1,68,68,00:06:53 02-Mar-2016,P,,,,,,,,,,
"131118",131118,Mk10,DS,4,0,4,69,50,02:28:41 02-Mar-2016,A,0,-63.6510,-56.3890,,,50,,401676950,-116,
"131118",131118,Mk10,DS,1,0,1,,,02:40:15 02-Mar-2016,K,B,-63.6410,-56.3290,,,6,,401676938,-130,
"131118",131118,Mk10,DS,1,0,1,,,03:16:30 02-Mar-2016,N,B,-63.6420,-56.3350,,,8,,401676940,-133,
"131118",131118,Mk10,DS,1,0,1,,,04:12:03 02-Mar-2016,A,B,-63.6340,-56.3100,,,7,,401676954,-122,
"131118",131118,Mk10,DS,3,0,2,54,47,05:59:18 02-Mar-2016,K,A,-63.5430,-56.3670,,,8,,401676958,-133,
"131118",131118,Mk10,DS,1,0,1,,,06:34:46 02-Mar-2016,N,B,-63.5240,-56.3740,,,8,,401676938,-129,
"131118",131118,Mk10,DS,1,0,1,,,06:45:39 02-Mar-2016,P,B,-63.5570,-56.1940,,,8,,401676912,-132,
"131118",131118,Mk10,DS,2,0,0,155,155,12:24:19 02-Mar-2016,A,B,-63.4890,-56.0940,,,8,,401676890,-120,
"131118",131118,Mk10,DS,1,0,0,,,12:56:40 02-Mar-2016,R,B,-63.3080,-56.3960,,,7,,401676990,-127,
