DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
"131118",131118,Mk10,Strong,10-Mar-2016,05:06:30,10-Mar-2016,00:06:42
"131118",131118,Mk10,Strong,15-Mar-2016,12:10:08,15-Mar-2016,07:10:20
