DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"131132",131132,Mk10,20:02:27 22-Nov-2013,,,2,47.6780,-122.1370,CRC 22177.40664,20:02:26 23-Nov-2013,Status,2,6,239,64,154,86,161,,,,,,,,,,,,,,,,,,,,,,,,,
"131132",131132,Mk10,20:47:33 25-Nov-2013,,,B,47.6790,-122.1370,CRC 41226.41258,20:47:32 25-Nov-2013,Status,2,6,243,75,224,161,10,,,,,,,,,,,,,,,,,,,,,,,,,
"131132",131132,Mk10,22:34:33 25-Nov-2013,,,3,47.6760,-122.1340,CRC 8303.49798,,,130,6,243,104,160,241,32,,,,,,,,,,,,,,,,,,,,,,,,,
"131132",131132,Mk10,23:10:33 25-Nov-2013,,,2,47.6760,-122.1340,CRC 57344.60233,23:10:33 25-Nov-2013,Fast-GPS,126,0,0,15,254,0,31,,,,,,,,,,,,,,,,,,,,,,,,,
"131132",131132,Mk10,18:41:50 26-Nov-2013,,,2,47.6760,-122.1380,CRC 28847.28861,18:41:48 26-Nov-2013,Status,2,6,245,42,112,112,175,,,,,,,,,,,,,,,,,,,,,,,,,
"131132",131132,Mk10,19:07:50 26-Nov-2013,,,A,47.6780,-122.1360,CRC 63934.65496,19:07:48 26-Nov-2013,Status,6,6,245,49,240,249,190,50,246,149,104,4,64,80,28,29,64,0,8,,,,,,,,,,,,,
