DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131111",131111,Mk10,DS,4,0,0,60,60,19:49:13 11-Nov-2013,B,,,,,,,,,,
"131111",131111,Mk10,DS,4,0,0,80,60,20:34:12 11-Nov-2013,L,1,47.6820,-122.1280,,,60,,401677552,-131,
"131111",131111,Mk10,DS,7,0,1,60,60,20:36:12 11-Nov-2013,A,2,47.6800,-122.1300,,,50,,401677551,-126,
"131111",131111,Mk10,DS,10,0,0,73,60,21:17:30 11-Nov-2013,P,2,47.6750,-122.1360,,,58,,401677547,-117,
"131111",131111,Mk10,DS,8,0,0,68,60,21:41:12 11-Nov-2013,N,3,47.6760,-122.1360,,,50,,401677546,-126,
"131111",131111,Mk10,DS,5,0,0,60,60,22:09:27 11-Nov-2013,K,2,47.6760,-122.1320,,,50,,401677546,-130,
"131111",131111,Mk10,DS,6,0,0,60,60,22:59:42 11-Nov-2013,P,2,47.6760,-122.1400,,,68,,401677545,-127,
"131111",131111,Mk10,DS,10,0,0,60,60,23:26:42 11-Nov-2013,N,3,47.6760,-122.1350,,,58,,401677546,-120,
"131111",131111,Mk10,DS,8,0,0,77,60,23:50:04 11-Nov-2013,K,3,47.6770,-122.1380,,,50,,401677547,-128,
"131111",131111,Mk10,DS,4,0,1,140,60,01:01:12 12-Nov-2013,R,2,47.6770,-122.1360,,,58,,401677549,-128,
"131111",131111,Mk10,DS,5,0,0,75,60,01:05:12 12-Nov-2013,N,2,47.6770,-122.1330,,,50,,401677548,-133,
"131111",131111,Mk10,DS,8,0,0,68,60,01:26:12 12-Nov-2013,K,3,47.6780,-122.1340,,,58,,401677549,-126,
"131111",131111,Mk10,DS,1,0,0,,,18:41:08 21-Mar-2016,P,,,,,,,,,,
"131111",131111,Mk10,DS,1,0,1,,,19:25:22 21-Mar-2016,R,,,,,,,,,,
"131111",131111,Mk10,DS,1,0,1,,,20:07:11 21-Mar-2016,N,B,-64.0930,-60.9920,,,8,,401677527,-133,
"131111",131111,Mk10,DS,1,0,1,,,20:07:11 21-Mar-2016,K,,,,,,,,,,
"131111",131111,Mk10,DS,2,0,2,259,259,20:21:17 21-Mar-2016,P,,,,,,,,,,
"131111",131111,Mk10,DS,5,0,4,105,55,21:07:51 21-Mar-2016,R,1,-64.1060,-60.9820,,,58,,401677529,-116,
"131111",131111,Mk10,DS,2,0,1,402,402,21:43:40 21-Mar-2016,K,B,-64.0980,-60.9980,,,8,,401677529,-129,
"131111",131111,Mk10,DS,1,0,1,,,21:47:02 21-Mar-2016,N,B,-64.1050,-60.9800,,,8,,401677535,-123,
"131111",131111,Mk10,DS,4,0,0,51,43,22:02:50 21-Mar-2016,P,1,-64.0950,-60.9930,,,58,,401677526,-121,
"131111",131111,Mk10,DS,4,0,1,54,45,22:49:28 21-Mar-2016,R,1,-64.0800,-60.9640,,,57,,401677544,-122,
"131111",131111,Mk10,DS,3,0,2,53,50,23:29:12 21-Mar-2016,K,A,-64.1140,-60.9930,,,,,401677533,-119,
"131111",131111,Mk10,DS,3,0,2,53,50,23:29:12 21-Mar-2016,N,A,-64.1170,-60.9940,,,8,,401677541,-119,
"131111",131111,Mk10,DS,3,0,1,125,58,23:43:51 21-Mar-2016,P,A,-64.1000,-60.9630,,,6,,401677535,-125,
"131111",131111,Mk10,DS,1,0,1,,,00:35:18 22-Mar-2016,A,B,-64.1050,-60.9630,,,8,,401677533,-130,
"131111",131111,Mk10,DS,1,0,1,,,01:16:07 22-Mar-2016,N,B,-64.1060,-60.9630,,,8,,401677532,-133,
"131111",131111,Mk10,DS,2,0,1,596,596,02:12:28 22-Mar-2016,A,B,-64.1170,-60.9750,,,8,,401677532,-121,
"131111",131111,Mk10,DS,3,0,2,104,52,02:52:37 22-Mar-2016,N,A,-64.1110,-60.9810,,,8,,401677533,-125,
"131111",131111,Mk10,DS,2,0,2,43,43,03:06:16 22-Mar-2016,P,B,-64.1090,-60.9780,,,6,,401677533,-132,
"131111",131111,Mk10,DS,3,0,3,49,43,03:06:42 22-Mar-2016,B,A,-64.0990,-60.9770,,,6,,401677530,-123,
"131111",131111,Mk10,DS,1,0,1,,,03:51:16 22-Mar-2016,A,B,-64.1020,-60.9770,,,8,,401677535,-125,
"131111",131111,Mk10,DS,1,0,1,,,04:18:26 22-Mar-2016,K,B,-64.1000,-60.9780,,,6,,401677535,-135,
"131111",131111,Mk10,DS,1,0,1,,,04:30:32 22-Mar-2016,N,B,-64.1020,-60.9760,,,6,,401677531,-127,
"131111",131111,Mk10,DS,2,0,1,56,56,04:44:20 22-Mar-2016,B,B,-64.1170,-60.9280,,,6,,401677544,-131,
"131111",131111,Mk10,DS,2,0,1,56,56,04:44:48 22-Mar-2016,P,B,-64.1200,-61.0410,,,8,,401677530,-135,
"131111",131111,Mk10,DS,1,0,0,,,05:31:29 22-Mar-2016,A,B,-64.1210,-61.0360,,,8,,401677526,-130,
"131111",131111,Mk10,DS,2,0,1,47,47,05:57:40 22-Mar-2016,K,B,-64.1100,-60.9680,,,6,,401677535,-126,
"131111",131111,Mk10,DS,1,0,1,,,06:10:58 22-Mar-2016,N,B,-64.1100,-60.9680,,,6,,401677538,-125,
"131111",131111,Mk10,DS,2,0,2,560,560,06:14:50 22-Mar-2016,P,B,-64.1350,-61.0050,,,8,,401677532,-126,
"131111",131111,Mk10,DS,1,0,0,,,07:09:56 22-Mar-2016,A,B,-64.1410,-60.9870,,,8,,401677526,-122,
"131111",131111,Mk10,DS,1,0,0,,,07:38:44 22-Mar-2016,K,B,-64.1240,-60.9680,,,6,,401677519,-118,
