DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"131111",131111,Mk10,20:34:12 11-Nov-2013,Argos,1,47.6820,-122.1280,,,,,,,,,
"131111",131111,Mk10,20:36:12 11-Nov-2013,Argos,2,47.6800,-122.1300,,,,,,,,,
"131111",131111,Mk10,21:17:30 11-Nov-2013,Argos,2,47.6750,-122.1360,,,,,,,,,
"131111",131111,Mk10,21:41:12 11-Nov-2013,Argos,3,47.6760,-122.1360,,,,,,,,,
"131111",131111,Mk10,22:09:27 11-Nov-2013,Argos,2,47.6760,-122.1320,,,,,,,,,
"131111",131111,Mk10,22:59:42 11-Nov-2013,Argos,2,47.6760,-122.1400,,,,,,,,,
"131111",131111,Mk10,23:26:42 11-Nov-2013,Argos,3,47.6760,-122.1350,,,,,,,,,
"131111",131111,Mk10,23:50:04 11-Nov-2013,Argos,3,47.6770,-122.1380,,,,,,,,,
"131111",131111,Mk10,01:01:12 12-Nov-2013,Argos,2,47.6770,-122.1360,,,,,,,,,
"131111",131111,Mk10,01:05:12 12-Nov-2013,Argos,2,47.6770,-122.1330,,,,,,,,,
"131111",131111,Mk10,01:26:12 12-Nov-2013,Argos,3,47.6780,-122.1340,,,,,,,,,
"131111",131111,Mk10,20:07:11 21-Mar-2016,Argos,B,-64.0930,-60.9920,,,,,,,,,
"131111",131111,Mk10,21:07:51 21-Mar-2016,Argos,1,-64.1060,-60.9820,,,,,,,,,
"131111",131111,Mk10,21:43:40 21-Mar-2016,Argos,B,-64.0980,-60.9980,,,,,,,,,
"131111",131111,Mk10,21:47:02 21-Mar-2016,Argos,B,-64.1050,-60.9800,,,,,,,,,
"131111",131111,Mk10,22:02:50 21-Mar-2016,Argos,1,-64.0950,-60.9930,,,,,,,,,
"131111",131111,Mk10,22:49:28 21-Mar-2016,Argos,1,-64.0800,-60.9640,,,,,,,,,
"131111",131111,Mk10,23:29:12 21-Mar-2016,Argos,A,-64.1140,-60.9930,,,,,,,,,
"131111",131111,Mk10,23:29:12 21-Mar-2016,Argos,A,-64.1170,-60.9940,,,,,,,,,
"131111",131111,Mk10,23:43:51 21-Mar-2016,Argos,A,-64.1000,-60.9630,,,,,,,,,
"131111",131111,Mk10,00:35:18 22-Mar-2016,Argos,B,-64.1050,-60.9630,,,,,,,,,
"131111",131111,Mk10,01:16:07 22-Mar-2016,Argos,B,-64.1060,-60.9630,,,,,,,,,
"131111",131111,Mk10,02:12:28 22-Mar-2016,Argos,B,-64.1170,-60.9750,,,,,,,,,
"131111",131111,Mk10,02:52:37 22-Mar-2016,Argos,A,-64.1110,-60.9810,,,,,,,,,
"131111",131111,Mk10,03:06:16 22-Mar-2016,Argos,B,-64.1090,-60.9780,,,,,,,,,
"131111",131111,Mk10,03:06:42 22-Mar-2016,Argos,A,-64.0990,-60.9770,,,,,,,,,
"131111",131111,Mk10,03:51:16 22-Mar-2016,Argos,B,-64.1020,-60.9770,,,,,,,,,
"131111",131111,Mk10,04:18:26 22-Mar-2016,Argos,B,-64.1000,-60.9780,,,,,,,,,
"131111",131111,Mk10,04:30:32 22-Mar-2016,Argos,B,-64.1020,-60.9760,,,,,,,,,
"131111",131111,Mk10,04:44:20 22-Mar-2016,Argos,B,-64.1170,-60.9280,,,,,,,,,
"131111",131111,Mk10,04:44:48 22-Mar-2016,Argos,B,-64.1200,-61.0410,,,,,,,,,
"131111",131111,Mk10,05:31:29 22-Mar-2016,Argos,B,-64.1210,-61.0360,,,,,,,,,
"131111",131111,Mk10,05:57:40 22-Mar-2016,Argos,B,-64.1100,-60.9680,,,,,,,,,
"131111",131111,Mk10,06:10:58 22-Mar-2016,Argos,B,-64.1100,-60.9680,,,,,,,,,
"131111",131111,Mk10,06:14:50 22-Mar-2016,Argos,B,-64.1350,-61.0050,,,,,,,,,
"131111",131111,Mk10,07:09:56 22-Mar-2016,Argos,B,-64.1410,-60.9870,,,,,,,,,
"131111",131111,Mk10,07:38:44 22-Mar-2016,Argos,B,-64.1240,-60.9680,,,,,,,,,
"131111",131111,Mk10,07:49:47 22-Mar-2016,Argos,B,-64.1170,-60.9260,,,,,,,,,
"131111",131111,Mk10,08:00:12 22-Mar-2016,Argos,A,-64.1040,-60.9420,,,,,,,,,
"131111",131111,Mk10,08:52:17 22-Mar-2016,Argos,B,-64.1080,-60.9230,,,,,,,,,
"131111",131111,Mk10,09:12:19 22-Mar-2016,Argos,B,-64.1080,-60.9110,,,,,,,,,
"131111",131111,Mk10,09:21:27 22-Mar-2016,Argos,B,-64.1060,-60.9200,,,,,,,,,
"131111",131111,Mk10,09:25:55 22-Mar-2016,Argos,B,-64.1070,-60.9260,,,,,,,,,
"131111",131111,Mk10,10:52:16 22-Mar-2016,Argos,B,-64.1120,-60.8890,,,,,,,,,
"131111",131111,Mk10,11:22:15 22-Mar-2016,Argos,B,-64.1160,-60.9180,,,,,,,,,
"131111",131111,Mk10,12:09:53 22-Mar-2016,Argos,A,-64.0940,-61.0590,,,,,,,,,
"131111",131111,Mk10,12:28:29 22-Mar-2016,Argos,B,-64.1100,-60.9220,,,,,,,,,
"131111",131111,Mk10,13:06:28 22-Mar-2016,Argos,B,-64.1040,-60.9280,,,,,,,,,
"131111",131111,Mk10,13:49:24 22-Mar-2016,Argos,B,-64.1030,-60.9450,,,,,,,,,
"131111",131111,Mk10,14:06:19 22-Mar-2016,Argos,B,-64.1030,-60.9460,,,,,,,,,
"131111",131111,Mk10,15:33:50 22-Mar-2016,Argos,B,-64.1090,-60.9600,,,,,,,,,
"131111",131111,Mk10,15:42:00 22-Mar-2016,Argos,B,-64.1080,-60.9640,,,,,,,,,
"131111",131111,Mk10,16:46:35 22-Mar-2016,Argos,B,-64.1070,-60.9670,,,,,,,,,
"131111",131111,Mk10,17:21:40 22-Mar-2016,Argos,B,-64.1070,-60.9710,,,,,,,,,
"131111",131111,Mk10,21:41:09 22-Mar-2016,Argos,B,-64.1290,-60.9690,,,,,,,,,
"131111",131111,Mk10,21:47:53 22-Mar-2016,Argos,B,-64.1290,-60.9630,,,,,,,,,
"131111",131111,Mk10,22:21:42 22-Mar-2016,Argos,2,-64.1340,-60.9830,,,,,,,,,
"131111",131111,Mk10,22:21:42 22-Mar-2016,Argos,2,-64.1340,-60.9830,,,,,,,,,
"131111",131111,Mk10,23:17:09 22-Mar-2016,Argos,B,-64.1360,-60.9970,,,,,,,,,
"131111",131111,Mk10,23:33:09 22-Mar-2016,Argos,B,-64.1340,-60.9910,,,,,,,,,
