DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131116",131116,Mk10,DS,1,0,0,,,19:45:34 11-Nov-2013,B,,,,,,,,,,
"131116",131116,Mk10,DS,5,0,0,60,60,20:33:34 11-Nov-2013,L,1,47.6740,-122.1390,,,50,,401677571,-131,
"131116",131116,Mk10,DS,5,0,0,60,60,20:36:34 11-Nov-2013,A,2,47.6740,-122.1380,,,60,,401677572,-122,
"131116",131116,Mk10,DS,11,0,0,60,60,21:16:34 11-Nov-2013,P,2,47.6740,-122.1430,,,58,,401677570,-118,
"131116",131116,Mk10,DS,10,0,0,60,60,21:41:04 11-Nov-2013,N,3,47.6760,-122.1360,,,60,,401677570,-119,
"131116",131116,Mk10,DS,6,0,1,72,60,22:09:44 11-Nov-2013,K,2,47.6760,-122.1300,,,50,,401677571,-130,
"131116",131116,Mk10,DS,6,0,0,72,60,22:59:54 11-Nov-2013,P,2,47.6770,-122.1350,,,58,,401677571,-128,
"131116",131116,Mk10,DS,8,0,0,77,60,23:25:49 11-Nov-2013,N,3,47.6770,-122.1330,,,50,,401677573,-118,
"131116",131116,Mk10,DS,9,0,1,60,60,23:50:34 11-Nov-2013,K,3,47.6770,-122.1370,,,50,,401677573,-118,
"131116",131116,Mk10,DS,6,0,1,84,60,01:00:24 12-Nov-2013,R,3,47.6780,-122.1370,,,68,,401677576,-126,
"131116",131116,Mk10,DS,4,0,0,60,60,01:09:04 12-Nov-2013,N,2,47.6790,-122.1390,,,50,,401677575,-126,
"131116",131116,Mk10,DS,8,0,0,60,60,01:25:34 12-Nov-2013,K,3,47.6770,-122.1360,,,50,,401677576,-129,
