DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
"122018",122018,,Mk10,,,04:44:50 11-Sep-2012,,,,,,0,0,,33563,3.696,,,11.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,02:50:35 12-Sep-2012,,0,-39.6740,176.9070,,0,1,,1371,2.800,,,36.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,02:51:35 12-Sep-2012,,0,-39.6740,176.9070,,0,1,,1371,2.800,,,49.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,02:55:35 12-Sep-2012,,0,-39.6740,176.9070,,0,1,,1371,2.864,,,-1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,02:56:35 12-Sep-2012,,0,-39.6740,176.9070,,0,1,,1371,2.864,,,11.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,02:57:35 12-Sep-2012,,0,-39.6740,176.9070,,0,1,,1371,2.864,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,03:00:35 12-Sep-2012,,0,-39.6740,176.9070,,0,1,,1371,2.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,03:52:34 12-Sep-2012,,1,-39.6570,176.9090,,0,1,,1371,3.312,,,11.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,03:53:34 12-Sep-2012,,1,-39.6570,176.9090,,0,1,,1371,3.312,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,03:57:34 12-Sep-2012,,1,-39.6570,176.9090,,0,1,,1371,3.376,,,-27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,03:58:34 12-Sep-2012,,1,-39.6570,176.9090,,0,1,,1371,3.376,,,-14.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,04:00:34 12-Sep-2012,,1,-39.6570,176.9090,,0,1,,1371,3.376,,,11.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,04:01:34 12-Sep-2012,,1,-39.6570,176.9090,,0,1,,1371,3.376,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122018",122018,,Mk10,,,04:02:34 12-Sep-2012,,1,-39.6570,176.9090,,0,1,,1371,3.376,,,36.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
