DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"122024",122024,Mk10,22:58:08 11-Sep-2012,,,,,,CRC 7557.62275,,TAT,33,216,88,1,0,128,0,0,0,0,64,0,0,0,1,118,12,2,255,6,164,123,197,,,,,,,,,
"122024",122024,Mk10,22:59:08 11-Sep-2012,,,,,,CRC 7621.8535,,TAT,33,220,88,1,0,128,0,0,0,0,64,0,0,0,1,97,28,2,255,6,85,75,221,,,,,,,,,
"122024",122024,Mk10,23:00:08 11-Sep-2012,,,,,,CRC 7685.42966,,TAT,33,224,88,1,0,128,0,0,0,0,64,0,0,0,1,145,236,2,255,6,9,30,55,,,,,,,,,
"122024",122024,Mk10,02:13:35 12-Sep-2012,,,B,-39.6340,176.8740,value: 7,02:13:35 12-Sep-2012,Status,1,57,65,176,195,213,173,120,215,225,108,212,168,66,0,151,47,43,82,149,161,193,109,204,66,182,26,166,122,134,214,
"122024",122024,Mk10,02:18:35 12-Sep-2012,,,B,-39.6340,176.8740,value: 7,02:18:35 12-Sep-2012,Status,1,58,1,43,105,42,73,75,75,84,118,180,166,163,135,102,141,174,45,45,73,139,8,26,136,78,79,249,189,214,185,
"122024",122024,Mk10,05:57:03 12-Sep-2012,,,3,-39.6630,176.8810,CRC 34373.41207,,TAT,40,100,88,1,0,128,0,0,0,0,64,0,0,0,0,167,228,2,255,6,13,104,40,,,,,,,,,
"122024",122024,Mk10,05:58:03 12-Sep-2012,,,3,-39.6630,176.8810,CRC 34437.50888,,TAT,40,104,88,1,0,128,0,0,0,0,64,0,0,0,0,151,212,2,255,6,30,57,89,,,,,,,,,
"122024",122024,Mk10,06:01:03 12-Sep-2012,,,3,-39.6630,176.8810,CRC 34645.19100,,TAT,40,117,88,1,0,128,0,0,0,0,64,0,0,0,16,192,101,6,255,6,201,43,164,,,,,,,,,
"122024",122024,Mk10,06:02:03 12-Sep-2012,,,3,-39.6630,176.8810,CRC 34693.21916,,TAT,40,120,88,1,0,128,0,0,0,0,64,0,0,0,0,208,148,2,255,6,218,250,182,,,,,,,,,
"122024",122024,Mk10,06:02:33 12-Sep-2012,,,3,-39.6630,176.8810,value: 3,06:02:33 12-Sep-2012,Status,2,30,1,48,195,133,27,67,12,16,118,178,130,12,48,77,184,48,176,214,224,195,132,27,194,21,24,110,156,172,58,
"122024",122024,Mk10,06:04:02 12-Sep-2012,,,3,-39.6630,176.8810,CRC 34821.13080,,TAT,40,128,88,1,0,128,0,0,0,0,64,0,0,0,11,40,100,34,253,4,71,142,91,,,,,,,,,
