DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
"122024",122024,,Mk10,,,22:58:38 11-Sep-2012,,,,,,0,0,,34075,2.992,,,36.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,22:59:38 11-Sep-2012,,,,,,0,0,,34075,2.992,,,49.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,23:00:38 11-Sep-2012,,,,,,0,0,,34075,3.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,04:14:34 12-Sep-2012,,B,-39.6410,176.8680,,0,1,,34075,3.504,,,-14.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,07:43:31 12-Sep-2012,,1,-39.6600,176.8960,,1,0,,34075,3.120,,,-1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,07:46:31 12-Sep-2012,,1,-39.6600,176.8960,,1,0,,34075,3.120,,,36.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,07:47:31 12-Sep-2012,,1,-39.6600,176.8960,,1,0,,34075,3.120,,,49.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,07:48:31 12-Sep-2012,,1,-39.6600,176.8960,,1,0,,34075,3.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,07:49:31 12-Sep-2012,,1,-39.6600,176.8960,,1,0,,34075,3.184,,,-27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,07:50:31 12-Sep-2012,,1,-39.6600,176.8960,,1,0,,34075,3.184,,,-14.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,07:51:31 12-Sep-2012,,1,-39.6600,176.8960,,0,0,,34143,3.312,,,-27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,07:53:31 12-Sep-2012,,1,-39.6600,176.8960,,1,0,,41243,3.184,,,24.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,07:56:31 12-Sep-2012,,B,-39.6710,176.8840,,1,0,,34079,3.248,,,-39.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:24:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,34075,3.440,,,11.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:25:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,34075,3.440,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:26:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,34075,3.440,,,36.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:27:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,34133,3.440,,,49.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:28:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,34133,3.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:29:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,43690,3.504,,,-27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:31:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,1301,3.504,,,-1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:32:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,33450,3.504,,,11.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:33:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,34058,3.504,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,08:35:31 12-Sep-2012,,3,-39.6630,176.8800,,1,0,,34143,3.504,,,49.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,09:24:30 12-Sep-2012,,2,-39.6660,176.8830,,1,0,,34075,3.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,09:25:30 12-Sep-2012,,2,-39.6660,176.8830,,1,0,,34075,3.952,,,-27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,09:31:30 12-Sep-2012,,3,-39.6640,176.8810,,1,0,,34075,3.952,,,49.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,11:01:29 12-Sep-2012,,B,-39.6650,176.8880,,1,1,,1307,2.672,,,-27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122024",122024,,Mk10,,,11:13:29 12-Sep-2012,,3,-39.6630,176.8820,,1,1,,34075,2.736,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
