DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"154184",154184,Mk10,00:08:26 01-Mar-2016,,,B,-63.4660,-56.9230,CRC 3823.37190,10:00:00 29-Feb-2016,TimeSeries,208,238,240,186,168,0,101,137,210,30,29,221,29,21,144,219,93,137,144,44,138,4,104,3,56,65,208,135,208,37,97,
"154184",154184,Mk10,10:07:55 01-Mar-2016,,,B,-63.4200,-56.9690,CRC 17217.41731,14:00:00 29-Feb-2016,TimeSeries,212,52,16,186,232,3,93,30,113,5,188,77,220,139,78,189,48,43,130,36,231,244,118,208,103,113,36,28,155,94,235,
"154184",154184,Mk10,10:07:55 01-Mar-2016,,,B,-63.3720,-56.9350,CRC 17217.29755,14:00:00 29-Feb-2016,TimeSeries,212,52,16,186,232,3,77,14,113,7,232,176,105,126,205,98,162,23,195,33,240,235,222,7,102,65,201,179,116,2,245,
"154184",154184,Mk10,07:11:50 03-Mar-2016,,,,,,CRC 34626.19508,23:48:00 02-Mar-2016,Behavior,184,116,32,197,124,56,1,2,210,168,160,2,5,231,80,36,118,69,6,253,182,194,247,95,68,53,115,188,28,147,53,
"154184",154184,Mk10,10:22:25 03-Mar-2016,,,,,,CRC 41655.13088,15:20:00 01-Mar-2016,Behavior,186,43,112,194,245,4,88,253,175,183,179,3,152,22,126,254,80,133,81,51,47,62,150,125,93,123,150,183,46,240,7,
"154184",154184,Mk10,10:32:54 03-Mar-2016,,,,,,CRC 37500.13673,04:42:00 01-Mar-2016,Behavior,185,39,192,194,74,145,188,19,92,22,227,78,118,234,206,87,240,23,173,120,136,38,226,157,236,109,152,15,220,1,129,
"154184",154184,Mk10,12:29:08 03-Mar-2016,,,,,,CRC 34204.8295,00:03:00 01-Mar-2016,Behavior,184,89,192,194,0,195,44,160,14,249,53,131,100,128,213,131,166,155,16,221,166,199,172,202,71,117,181,218,132,142,109,
"154184",154184,Mk10,13:39:32 03-Mar-2016,,,,,,CRC 52499.6889,22:30:00 02-Jul-2016,Behavior,188,209,49,197,103,172,77,70,92,172,150,121,96,154,7,59,204,213,189,89,20,17,11,85,184,6,13,91,16,177,212,
"154184",154184,Mk10,20:33:40 03-Mar-2016,,,,,,CRC 37482.59332,,DiveDepth,57,38,162,254,255,48,46,192,24,108,18,17,158,137,184,200,250,63,241,128,30,141,187,128,61,143,107,,,,,
"154184",154184,Mk10,22:03:56 03-Mar-2016,,,,,,CRC 52563.36607,14:07:00 03-Mar-2016,Behavior,188,213,48,198,225,194,224,76,144,2,33,74,48,191,229,169,114,23,231,136,69,224,103,28,23,244,127,74,175,127,101,
"154184",154184,Mk10,22:16:37 03-Mar-2016,,,,,,CRC 34626.36727,06:05:00 23-Jun-2016,Behavior,184,116,33,174,97,91,205,8,157,10,225,219,228,254,155,83,131,111,23,94,213,180,226,19,114,190,5,178,15,65,94,
"154184",154184,Mk10,11:19:07 05-Mar-2016,,,,,,CRC 51042.59645,16:00:00 02-Mar-2016,DiveDepth,60,118,32,197,5,128,0,106,255,224,249,253,199,127,255,243,255,224,242,114,35,150,207,181,60,35,246,195,159,202,185,
"154184",154184,Mk10,11:19:08 05-Mar-2016,,,,,,CRC 51042.31370,16:00:00 02-Feb-2016,DiveDepth,60,118,32,133,5,161,90,0,0,30,12,118,53,128,2,12,8,31,12,25,36,229,172,39,70,157,0,195,51,214,132,
"154184",154184,Mk10,12:56:09 05-Mar-2016,,,Z,-64.9270,-62.2210,CRC 35487.14452,02:00:00 05-Mar-2016,TimeSeries,216,169,240,202,40,3,37,27,38,154,38,9,249,63,216,202,18,119,158,84,238,30,87,202,231,52,11,146,227,94,4,
"154184",154184,Mk10,12:58:17 05-Mar-2016,,,Z,-64.9270,-62.2210,CRC 65223.15849,,TimeSeries,223,236,116,22,12,197,252,231,118,244,193,43,228,43,183,50,80,80,65,108,141,233,76,193,165,69,165,93,159,145,25,
