ID,Animal,Latitude,Longitude,timestamp,Start,End,Date,Month,Hour,Year,DepthMax,DepthMin,Quality,DurationMax,DurationMin
4052,131127,-64.506,-62.368,4/26/2016 11:27,4/26/2016 14:22,4/26/2016 14:27,4/26/2016 15:21,April,11,2016,56.5,55.5,3,285,283
4052,131127,-64.506,-62.368,4/26/2016 11:37,4/26/2016 14:30,4/26/2016 14:37,4/26/2016 15:21,April,11,2016,53,52.5,3,425,423
4052,131127,-64.506,-62.368,4/26/2016 11:01,4/26/2016 13:57,4/26/2016 14:01,4/26/2016 15:21,April,11,2016,55,54.5,3,245,243
4052,131127,-64.506,-62.368,4/26/2016 11:18,4/26/2016 14:17,4/26/2016 14:18,4/26/2016 15:21,April,11,2016,37,36.5,3,105,103
4052,131127,-64.506,-62.368,4/26/2016 12:13,4/26/2016 15:04,4/26/2016 15:13,4/26/2016 15:21,April,12,2016,88.5,87,3,515,513
5027,131127,-64.506,-62.368,4/26/2016 11:01,4/26/2016 13:57,4/26/2016 14:01,4/26/2016 15:21,April,11,2016,55,54.5,3,245,243
5027,131127,-64.506,-62.368,4/26/2016 11:27,4/26/2016 14:22,4/26/2016 14:27,4/26/2016 15:21,April,11,2016,56.5,55.5,3,285,283
5027,131127,-64.506,-62.368,4/26/2016 11:18,4/26/2016 14:17,4/26/2016 14:18,4/26/2016 15:21,April,11,2016,37,36.5,3,105,103
5027,131127,-64.506,-62.368,4/26/2016 12:13,4/26/2016 15:04,4/26/2016 15:13,4/26/2016 15:21,April,12,2016,88.5,87,3,515,513
5027,131127,-64.506,-62.368,4/26/2016 11:37,4/26/2016 14:30,4/26/2016 14:37,4/26/2016 15:21,April,11,2016,53,52.5,3,425,423
2159,131127,-64.506,-62.368,4/26/2016 12:05,4/26/2016 14:58,4/26/2016 15:05,4/26/2016 15:31,April,12,2016,209.5,206,3,447,445
2159,131127,-64.506,-62.368,4/26/2016 12:12,4/26/2016 15:06,4/26/2016 15:12,4/26/2016 15:31,April,12,2016,26,25.5,3,349,347
2159,131127,-64.506,-62.368,4/26/2016 12:15,4/26/2016 15:12,4/26/2016 15:15,4/26/2016 15:31,April,12,2016,15,15,3,167,165
2159,131127,-64.506,-62.368,4/26/2016 12:16,4/26/2016 15:15,4/26/2016 15:16,4/26/2016 15:31,April,12,2016,33,32.5,3,59,57
2159,131127,-64.506,-62.368,4/26/2016 12:27,4/26/2016 15:19,4/26/2016 15:27,4/26/2016 15:31,April,12,2016,205.5,202,3,479,477
560,131127,-64.506,-62.368,4/26/2016 11:54,4/26/2016 14:44,4/26/2016 14:54,4/26/2016 15:33,April,11,2016,299.5,292,3,601,599
560,131127,-64.506,-62.368,4/26/2016 12:06,4/26/2016 15:03,4/26/2016 15:06,4/26/2016 15:33,April,12,2016,15.5,15.5,3,155,153
