x,y,timestamp,ID,Behavior
-64.35598755,-65.04699707,1/11/2015 11:45,131144,Area-restricted Search
-64.35299683,-65.02200317,1/11/2015 12:27,131144,Area-restricted Search
-64.3380127,-65.02300262,1/11/2015 12:31,131144,Area-restricted Search
-64.29000854,-64.99199677,1/11/2015 13:26,131144,Area-restricted Search
-64.15701294,-64.93000031,1/12/2015 0:03,131144,Area-restricted Search
-64.11898804,-64.90699768,1/12/2015 0:34,131144,Area-restricted Search
-64.10900879,-64.90799713,1/12/2015 0:38,131144,Area-restricted Search
-64.10101318,-64.90899658,1/12/2015 0:44,131144,Area-restricted Search
-64.02700806,-64.87200165,1/12/2015 2:11,131144,Traveling
-64.04199219,-64.86799622,1/12/2015 2:22,131144,Traveling
-64.04299927,-64.86599731,1/12/2015 2:23,131144,Traveling
-64.03201294,-64.87200165,1/12/2015 2:48,131144,Traveling
-64.01000977,-64.86499786,1/12/2015 3:07,131144,Traveling
-64.0920105,-64.83599854,1/13/2015 0:45,131144,Area-restricted Search
-64.20999146,-64.81900024,1/13/2015 1:55,131144,Traveling
-64.20300293,-64.81999969,1/13/2015 2:10,131144,Traveling
-64.28399658,-64.8259964,1/13/2015 3:29,131144,Traveling
-64.28601074,-64.83100128,1/13/2015 3:52,131144,Traveling
-64.28900146,-64.83100128,1/13/2015 3:53,131144,Traveling
-64.27999878,-64.83100128,1/13/2015 4:02,131144,Traveling
-64.25900269,-64.84200287,1/13/2015 4:26,131144,Traveling
-64.27801514,-64.84700012,1/13/2015 5:15,131144,Traveling
-64.26199341,-64.85099792,1/13/2015 5:29,131144,Traveling
-64.28601074,-64.84600067,1/13/2015 5:31,131144,Traveling
-64.27398682,-64.84600067,1/13/2015 5:39,131144,Traveling
-64.25500488,-64.86100006,1/13/2015 6:54,131144,Traveling
-64.23400879,-64.84400177,1/13/2015 7:10,131144,Traveling
-64.20498657,-64.84999847,1/13/2015 7:11,131144,Traveling
-64.23599243,-64.85099792,1/13/2015 7:18,131144,Traveling
-64.22000122,-64.85500336,1/13/2015 8:08,131144,Traveling
-64.21200562,-64.83499908,1/13/2015 8:28,131144,Traveling
-64.19900513,-64.84100342,1/13/2015 8:46,131144,Traveling
-64.2170105,-64.83499908,1/13/2015 8:57,131144,Traveling
-64.2170105,-64.84200287,1/13/2015 9:50,131144,Traveling
-64.23199463,-64.83300018,1/13/2015 10:09,131144,Traveling
-64.2539978,-64.81400299,1/13/2015 10:34,131144,Traveling
-64.26098633,-64.82299805,1/13/2015 11:29,131144,Traveling
-64.20800781,-64.81900024,1/13/2015 11:51,131144,Traveling
-64.19100952,-64.82299805,1/13/2015 13:09,131144,Traveling
-64.14801025,-64.80599976,1/14/2015 0:20,131144,Traveling
-64.15301514,-64.81199646,1/14/2015 0:21,131144,Traveling
-64.14498901,-64.80899811,1/14/2015 0:21,131144,Area-restricted Search
-64.26699829,-64.84500122,1/14/2015 1:34,131144,Area-restricted Search
-64.30099487,-64.86499786,1/14/2015 1:59,131144,Area-restricted Search
-64.3039856,-64.86399841,1/14/2015 2:01,131144,Area-restricted Search
-64.31500244,-64.85900116,1/14/2015 2:03,131144,Traveling
-64.33099365,-64.86299896,1/14/2015 2:26,131144,Traveling
-64.30499268,-64.85099792,1/14/2015 3:12,131144,Traveling
-64.31201172,-64.85500336,1/14/2015 3:40,131144,Traveling
-64.32501221,-64.85500336,1/14/2015 3:41,131144,Traveling
-64.29098511,-64.84200287,1/14/2015 4:09,131144,Traveling
-64.31698608,-64.82299805,1/14/2015 4:53,131144,Traveling
-64.32000732,-64.82499695,1/14/2015 5:17,131144,Traveling
-64.29699707,-64.82299805,1/14/2015 5:18,131144,Traveling
-64.30801392,-64.82900238,1/14/2015 5:20,131144,Traveling
-64.31100464,-64.81300354,1/14/2015 6:34,131144,Traveling
-64.29699707,-64.8030014,1/14/2015 6:52,131144,Traveling
-64.3039856,-64.8030014,1/14/2015 7:00,131144,Traveling
-64.32901001,-64.80500031,1/14/2015 7:00,131144,Traveling
-64.33300781,-64.78099823,1/14/2015 8:11,131144,Traveling
-64.29800415,-64.77999878,1/14/2015 8:33,131144,Traveling
-64.3380127,-64.77799988,1/14/2015 8:37,131144,Area-restricted Search
-64.47000122,-64.81600189,1/14/2015 10:57,131144,Area-restricted Search
-64.47399902,-64.99900055,2/1/2015 14:49,131144,Area-restricted Search
-64.23800659,-64.98999786,2/1/2015 17:26,131144,Area-restricted Search
-64.36700439,-64.82700348,2/2/2015 0:50,131144,Area-restricted Search
-64.44799805,-64.8239975,2/2/2015 1:41,131144,Traveling
-64.44000244,-64.8239975,2/2/2015 1:51,131144,Traveling
-64.40600586,-64.81900024,2/2/2015 2:27,131144,Traveling
-64.44198608,-64.8219986,2/2/2015 2:38,131144,Traveling
-64.32901001,-64.8789978,2/5/2015 0:39,131146,Traveling
-64.30700684,-64.90499878,2/5/2015 1:06,131146,Traveling
-64.30599976,-64.91000366,2/5/2015 1:16,131146,Traveling
-64.28900146,-64.90899658,2/5/2015 1:17,131146,Traveling
-64.28799438,-64.89499664,2/5/2015 2:13,131146,Traveling
-64.25799561,-64.89299774,2/5/2015 2:52,131146,Traveling
-64.2829895,-64.89099884,2/5/2015 2:54,131146,Traveling
-64.28500366,-64.89199829,2/5/2015 2:57,131146,Traveling
