DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy
"131134",131134,,Transmission,Mk10,1,18:00:00 25-Apr-2016,19:00:00 25-Apr-2016,,,,0.0,0.00,328.0,3.75,,,,
"131134",131134,,Transmission,Mk10,3,19:00:00 25-Apr-2016,20:00:00 25-Apr-2016,,,,0.0,0.00,320.0,3.75,,,,
"131134",131134,,Transmission,Mk10,6,20:00:00 25-Apr-2016,21:00:00 25-Apr-2016,,,,0.0,0.00,328.0,3.75,,,,
"131134",131134,,Transmission,Mk10,2,21:00:00 25-Apr-2016,22:00:00 25-Apr-2016,,,,0.0,0.00,312.0,3.75,,,,
