DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
"131115",131115,Mk10,Strong,11-Nov-2013,20:36:16,11-Nov-2013,20:36:18
"131115",131115,Mk10,Strong,12-Nov-2013,01:33:16,12-Nov-2013,01:33:18
