DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
"131133",131133,Mk10,Strong,22-Nov-2013,18:31:18,22-Nov-2013,18:31:19
"131133",131133,Mk10,Strong,26-Nov-2013,20:26:41,26-Nov-2013,20:26:43
