DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"131133",131133,Mk10,18:29:19 22-Nov-2013,Argos,B,47.6690,-122.1340,,,,,,,,,
"131133",131133,Mk10,19:16:19 22-Nov-2013,Argos,2,47.6790,-122.1410,,,,,,,,,
"131133",131133,Mk10,19:20:19 22-Nov-2013,Argos,B,47.6790,-122.1410,,,,,,,,,
"131133",131133,Mk10,19:59:19 22-Nov-2013,Argos,A,47.6790,-122.1380,,,,,,,,,
"131133",131133,Mk10,20:07:39 22-Nov-2013,Argos,A,47.6770,-122.1390,,,,,,,,,
"131133",131133,Mk10,20:58:19 22-Nov-2013,Argos,3,47.6770,-122.1360,,,,,,,,,
"131133",131133,Mk10,20:25:29 25-Nov-2013,Argos,2,47.6770,-122.1350,,,,,,,,,
"131133",131133,Mk10,20:46:59 25-Nov-2013,Argos,1,47.6740,-122.1330,,,,,,,,,Lat > 4 deviations from mean
"131133",131133,Mk10,22:06:29 25-Nov-2013,Argos,2,47.6770,-122.1360,,,,,,,,,
"131133",131133,Mk10,22:28:59 25-Nov-2013,Argos,3,47.6760,-122.1360,,,,,,,,,
"131133",131133,Mk10,23:06:39 25-Nov-2013,Argos,3,47.6760,-122.1350,,,,,,,,,
"131133",131133,Mk10,18:43:12 26-Nov-2013,Argos,3,47.6760,-122.1360,,,,,,,,,
"131133",131133,Mk10,19:09:12 26-Nov-2013,Argos,3,47.6770,-122.1360,,,,,,,,,
"131133",131133,Mk10,19:37:42 26-Nov-2013,Argos,B,47.6770,-122.1360,,,,,,,,,
"131133",131133,Mk10,20:11:42 26-Nov-2013,Argos,3,47.6760,-122.1350,,,,,,,,,
"131133",131133,Mk10,20:11:42 26-Nov-2013,Argos,3,47.6760,-122.1350,,,,,,,,,
"131133",131133,Mk10,20:25:42 26-Nov-2013,Argos,2,47.6770,-122.1380,,,,,,,,,
