DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131128",131128,Mk10,DS,2,0,0,300,300,19:19:01 22-Nov-2013,P,B,47.6760,-122.1330,,,,,401677439,,
"131128",131128,Mk10,DS,1,0,1,,,19:25:31 22-Nov-2013,B,,,,,,,,,,
"131128",131128,Mk10,DS,7,0,2,100,60,20:57:48 22-Nov-2013,P,2,47.6760,-122.1390,,,,,401677444,,
"131128",131128,Mk10,DS,5,0,0,75,60,20:25:37 25-Nov-2013,P,2,47.6770,-122.1380,,,,,401677452,,
"131128",131128,Mk10,DS,4,0,2,80,60,20:44:07 25-Nov-2013,A,1,47.6790,-122.1340,,,,,401677451,,
"131128",131128,Mk10,DS,3,0,1,90,60,20:47:37 25-Nov-2013,N,A,47.6790,-122.1340,,,,,401677450,,
"131128",131128,Mk10,DS,7,0,0,90,60,22:07:11 25-Nov-2013,P,3,47.6780,-122.1360,,,,,401677447,,
"131128",131128,Mk10,DS,6,0,0,60,60,22:30:07 25-Nov-2013,N,3,47.6760,-122.1370,,,,,401677448,,
"131128",131128,Mk10,DS,5,0,0,75,60,18:44:27 26-Nov-2013,A,3,47.6780,-122.1380,,,,,401677451,,
"131128",131128,Mk10,DS,6,0,0,60,60,19:09:57 26-Nov-2013,L,3,47.6790,-122.1390,,,,,401677447,,
"131128",131128,Mk10,DS,6,0,0,72,60,20:11:57 26-Nov-2013,P,3,47.6760,-122.1350,,,,,401677448,,
"131128",131128,Mk10,DS,2,0,0,120,120,20:26:27 26-Nov-2013,A,B,47.6770,-122.1370,,,,,401677447,,
