DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"131128",131128,Mk10,19:25:31 22-Nov-2013,,,,,,CRC 60410.6139,19:29:30 22-Nov-2013,Status,2,6,237,55,94,235,250,,,,,,,,,,,,,,,,,,,,,,,,,
"131128",131128,Mk10,20:57:31 22-Nov-2013,,,2,47.6760,-122.1390,CRC 8302.17383,05:00:00 07-May-2011,TAD,18,6,237,78,94,75,226,,,,,,,,,,,,,,,,,,,,,,,,,
"131128",131128,Mk10,21:02:31 22-Nov-2013,,,2,47.6760,-122.1390,Too short,16:00:00 22-Nov-2013,Status,2,6,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131128",131128,Mk10,20:43:38 25-Nov-2013,,,1,47.6790,-122.1340,CRC 40010.19819,20:43:38 25-Nov-2013,Status,2,7,243,74,228,156,74,,,,,,,,,,,,,,,,,,,,,,,,,
"131128",131128,Mk10,20:44:38 25-Nov-2013,,,1,47.6790,-122.1340,MaxWetDry (3) < MinWetDry (7),20:44:38 25-Nov-2013,Status,6,172,63,75,4,32,218,52,87,182,132,5,0,80,28,13,4,0,1,,,,,,,,,,,,,
"131128",131128,Mk10,20:47:38 25-Nov-2013,,,A,47.6790,-122.1340,CRC 24651.24683,20:47:36 25-Nov-2013,Status,2,6,243,75,228,96,75,,,,,,,,,,,,,,,,,,,,,,,,,
