DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
"131128",131128,Mk10,Strong,22-Nov-2013,19:21:30,22-Nov-2013,19:21:31
"131128",131128,Mk10,Strong,26-Nov-2013,20:27:26,26-Nov-2013,20:27:28
