DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
"131136",131136,0.500000,Mk10,,,19:16:35 22-Nov-2013,,A,47.6610,-122.0920,,1,0,,86,3.632,,,20.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,19:17:34 22-Nov-2013,19:17:35 22-Nov-2013,1,A,47.6610,-122.0920,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,19:57:34 22-Nov-2013,19:57:35 22-Nov-2013,1,B,47.6690,-122.0950,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,19:59:34 22-Nov-2013,19:59:35 22-Nov-2013,1,B,47.6690,-122.0950,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,20:07:34 22-Nov-2013,20:07:35 22-Nov-2013,1,2,47.6790,-122.1270,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,,20:08:35 22-Nov-2013,,2,47.6790,-122.1270,,1,0,,138,3.632,,,20.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,20:09:34 22-Nov-2013,20:09:35 22-Nov-2013,1,2,47.6790,-122.1270,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,20:54:34 22-Nov-2013,20:54:35 22-Nov-2013,1,3,47.6760,-122.1350,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,20:55:34 22-Nov-2013,20:55:35 22-Nov-2013,1,3,47.6760,-122.1350,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,,20:56:35 22-Nov-2013,,3,47.6760,-122.1350,,1,0,,186,3.632,,,20.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,20:57:34 22-Nov-2013,20:57:35 22-Nov-2013,1,3,47.6760,-122.1350,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,20:58:34 22-Nov-2013,20:58:35 22-Nov-2013,1,3,47.6760,-122.1350,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,20:59:34 22-Nov-2013,20:59:35 22-Nov-2013,1,3,47.6760,-122.1350,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131136",131136,0.500000,Mk10,,,21:00:35 22-Nov-2013,,3,47.6760,-122.1350,,1,0,,190,3.632,0.904,0.236,21.00,-0.5,0.0,0,,,,,,,,,,,,9,9,70,,,,,,,,,,
"131136",131136,0.500000,Mk10,,,20:24:42 25-Nov-2013,,2,47.6780,-122.1370,,0,0,,210,3.504,,,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
