DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131136",131136,Mk10,DS,3,0,1,60,60,19:17:35 22-Nov-2013,P,A,47.6610,-122.0920,,,,,401677494,,
"131136",131136,Mk10,DS,2,0,0,120,120,19:58:35 22-Nov-2013,L,B,47.6690,-122.0950,,,,,401677491,,
"131136",131136,Mk10,DS,4,0,1,60,60,20:08:05 22-Nov-2013,A,2,47.6790,-122.1270,,,,,401677491,,
"131136",131136,Mk10,DS,7,0,0,60,60,20:57:35 22-Nov-2013,P,3,47.6760,-122.1350,,,,,401677488,,
"131136",131136,Mk10,DS,4,0,0,80,60,20:25:12 25-Nov-2013,P,2,47.6780,-122.1370,,,,,401677489,,
"131136",131136,Mk10,DS,5,0,0,60,60,20:47:12 25-Nov-2013,N,2,47.6760,-122.1300,,,,,401677488,,
"131136",131136,Mk10,DS,4,0,0,100,60,22:07:27 25-Nov-2013,P,3,47.6780,-122.1350,,,,,401677483,,
"131136",131136,Mk10,DS,8,0,1,60,60,22:29:12 25-Nov-2013,N,3,47.6770,-122.1360,,,,,401677484,,
"131136",131136,Mk10,DS,5,0,0,90,60,23:07:18 25-Nov-2013,K,3,47.6770,-122.1340,,,,,401677485,,
"131136",131136,Mk10,DS,1,0,0,,,18:33:52 26-Nov-2013,P,B,47.6960,-122.1580,,,,,401677485,,
"131136",131136,Mk10,DS,6,0,1,72,60,18:43:22 26-Nov-2013,A,3,47.6770,-122.1370,,,,,401677494,,
"131136",131136,Mk10,DS,5,0,0,60,60,19:09:22 26-Nov-2013,L,2,47.6760,-122.1330,,,,,401677494,,
"131136",131136,Mk10,DS,5,0,0,60,60,20:13:52 26-Nov-2013,P,2,47.6770,-122.1320,,,,,401677495,,
"131136",131136,Mk10,DS,14,0,2,58,43,13:25:00 26-Apr-2016,A,3,-64.5610,-62.2430,,,50,,401677486,-115,
"131136",131136,Mk10,DS,6,0,4,44,44,14:05:31 26-Apr-2016,R,1,-64.5700,-62.2360,,,58,,401677485,-130,
"131136",131136,Mk10,DS,1,0,1,,,14:23:40 26-Apr-2016,B,B,-64.5710,-62.2350,,,6,,401677485,-132,
"131136",131136,Mk10,DS,4,1,0,,,15:04:04 26-Apr-2016,A,1,-64.5720,-62.2350,,,58,,401677485,-124,
"131136",131136,Mk10,DS,1,0,0,,,15:48:24 26-Apr-2016,R,B,-64.5770,-62.2290,,,8,,401677482,-138,
"131136",131136,Mk10,DS,11,3,3,,,17:21:35 26-Apr-2016,R,3,-64.6050,-62.2110,,,58,,401677485,-129,
"131136",131136,Mk10,DS,5,0,2,144,44,18:35:04 26-Apr-2016,P,2,-64.6050,-62.2290,,,58,,401677487,-134,
"131136",131136,Mk10,DS,14,4,1,,,19:00:30 26-Apr-2016,R,3,-64.6060,-62.2150,,,56,,401677485,-124,
"131136",131136,Mk10,DS,5,0,3,66,44,19:51:41 26-Apr-2016,N,0,-64.6030,-62.2240,,,58,,401677488,-137,
