DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
"131136",131136,0.500000,Mk10,16:00:00 22-Nov-2013,,,,0.000000,0.000000,Status,,
"131136",131136,0.500000,Mk10,16:00:00 25-Nov-2013,,,,0.000000,0.000000,Status,,
"131136",131136,0.500000,Mk10,22:00:00 25-Nov-2013,,,,0.000000,0.000000,Status,,
"131136",131136,0.500000,Mk10,16:00:00 26-Nov-2013,,,,0.000000,0.000000,Status,,
"131136",131136,0.500000,Mk10,10:00:00 26-Apr-2016,,,,0.000000,0.000000,Status,110.000000,0.750000,TimeSeries
"131136",131136,0.500000,Mk10,16:00:00 26-Apr-2016,,,,0.000000,0.000000,Status,312.000000,3.750000,TimeSeries
"131136",131136,0.500000,Mk10,22:00:00 26-Apr-2016,,,,0.000000,0.000000,Behavior,271.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,04:00:00 27-Apr-2016,,,,0.000000,0.000000,Status,343.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,10:00:00 27-Apr-2016,,,,0.000000,0.000000,Status,367.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,16:00:00 27-Apr-2016,,,,0.000000,0.000000,Behavior,255.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,22:00:00 27-Apr-2016,,,,0.000000,0.000000,Behavior,271.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,04:00:00 28-Apr-2016,,,,0.000000,0.000000,Behavior,271.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,10:00:00 28-Apr-2016,,,,0.000000,0.000000,Status,375.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,16:00:00 28-Apr-2016,,,,0.000000,0.000000,Behavior,375.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,22:00:00 28-Apr-2016,,,,0.000000,0.000000,Behavior,195.750000,1.750000,Behavior
"131136",131136,0.500000,Mk10,04:00:00 29-Apr-2016,,,,0.000000,0.000000,Behavior,319.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,10:00:00 29-Apr-2016,,,,0.000000,0.000000,Behavior,327.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,16:00:00 29-Apr-2016,,,,0.000000,0.000000,Behavior,163.750000,1.750000,Behavior
"131136",131136,0.500000,Mk10,22:00:00 29-Apr-2016,,,,0.000000,0.000000,Status,239.750000,1.750000,Behavior
"131136",131136,0.500000,Mk10,04:00:00 30-Apr-2016,,,,0.000000,0.000000,Behavior,335.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,10:00:00 30-Apr-2016,,,,0.000000,0.000000,Behavior,239.750000,1.750000,Behavior
"131136",131136,0.500000,Mk10,16:00:00 30-Apr-2016,,,,0.000000,0.000000,Behavior,375.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,22:00:00 30-Apr-2016,,,,0.000000,0.000000,Behavior,187.750000,1.750000,Behavior
"131136",131136,0.500000,Mk10,04:00:00 01-May-2016,,,,0.000000,0.000000,Behavior,232.000000,1.750000,TimeSeries
"131136",131136,0.500000,Mk10,10:00:00 01-May-2016,,,,0.000000,0.000000,Status,328.000000,3.750000,TimeSeries
"131136",131136,0.500000,Mk10,16:00:00 01-May-2016,,,,0.000000,0.000000,Behavior,360.000000,3.750000,TimeSeries
"131136",131136,0.500000,Mk10,22:00:00 01-May-2016,,,,0.000000,0.000000,Behavior,328.000000,3.750000,TimeSeries
"131136",131136,0.500000,Mk10,04:00:00 02-May-2016,,,,0.000000,0.000000,Behavior,351.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,10:00:00 02-May-2016,,,,0.000000,0.000000,Behavior,383.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,16:00:00 02-May-2016,,,,0.000000,0.000000,Behavior,351.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,22:00:00 02-May-2016,,,,0.000000,0.000000,Behavior,303.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,04:00:00 03-May-2016,,,,0.000000,0.000000,Status,391.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,10:00:00 03-May-2016,,,,0.000000,0.000000,Status,351.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,16:00:00 03-May-2016,,,,0.000000,0.000000,Behavior,391.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,22:00:00 03-May-2016,,,,0.000000,0.000000,Behavior,375.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,04:00:00 04-May-2016,,,,0.000000,0.000000,Status,431.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,10:00:00 04-May-2016,,,,0.000000,0.000000,Status,415.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,16:00:00 04-May-2016,,,,0.000000,0.000000,Behavior,191.750000,1.750000,Behavior
"131136",131136,0.500000,Mk10,22:00:00 04-May-2016,,,,0.000000,0.000000,Status,407.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,04:00:00 05-May-2016,,,,0.000000,0.000000,Behavior,407.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,10:00:00 05-May-2016,,,,0.000000,0.000000,Behavior,407.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,16:00:00 05-May-2016,,,,0.000000,0.000000,Behavior,471.750000,3.750000,Behavior
"131136",131136,0.500000,Mk10,22:00:00 05-May-2016,,,,0.000000,0.000000,Behavior,463.750000,3.750000,Behavior
